procurement_id,year,customer,region,subject,initial_price_rub,final_price_rub,ocd_role,source_url
0337100009416000045,2016,Калужский филиал МГУПС,Калужская область,Дезинсекция и дератизация,58685.76,28000.00,Победитель,https://vsem-podryad.ru/purchase/0a55ffbc-3c48-49f3-b27f-f3d893dd11bb/
0373200081220000058,2020,ГКУ «Дирекция заказчика ЖКХиБ ЦАО»,Москва,Дератизация рекреационных объектов,360000.00,27000.00,Победитель,https://vsem-podryad.ru/purchase/fe5f0263-5677-44aa-b9dc-86c6925b661a/
0423000001200000494,2020,Департамент финансов администрации г.о. Самара,Самарская область,Акарицидная и дератизационная обработка муниципальных кладбищ,1000000.00,189378.71,Участник; победитель ООО «ЗЕЛЁНЫЙ МИР»,https://vsem-podryad.ru/purchase/070c4661-1d0b-4c10-8523-32d05495fcb5/
040200003323018,2023,КОГКУ «Центр по техническому сопровождению государственных закупок»,Кировская область,Акарицидная обработка территории,64240.00,64240.00,Не ОЦД; победитель ООО «Кировский областной центр дезинфекции»,https://vsem-podryad.ru/purchase/63a2186c-d62a-408f-93bd-7e327a80e490/
